,date,supply,open,close,high,low,market_cap,spread
1455,2017-04-22,16286737.5,1222.71,1231.71,1235.56,1208.47,20062753908,27.089999999999918
1456,2017-04-23,16286737.5,1231.92,1207.21,1232.2,1203.94,19665994145,28.25999999999999
1457,2017-04-24,16292012.5,1209.63,1250.15,1250.94,1209.63,20367443800,41.309999999999945
1458,2017-04-25,16292012.5,1250.45,1265.49,1267.58,1249.97,20619704237,17.6099999999999
1459,2017-04-26,16292012.5,1265.99,1281.08,1294.83,1265.93,20876159410,28.899999999999864
1460,2017-04-27,16297612.5,1281.88,1317.73,1319.7,1281.3,21475836448,38.40000000000009
1461,2017-04-28,16297612.5,1317.74,1316.48,1331.28,1292.37,21457669552,38.91000000000008
1462,2017-04-29,16297612.5,1317.84,1321.79,1327.2,1315.21,21547126640,11.990000000000009
1463,2017-04-30,16303362.5,1321.87,1347.89,1347.91,1314.92,21975104909,32.99000000000001
1464,2017-05-01,16303362.5,1348.3,1421.6,1434.32,1348.3,23179524919,86.01999999999998
1465,2017-05-02,16303362.5,1421.03,1452.82,1473.9,1415.69,23691443738,58.210000000000036
1466,2017-05-03,16308862.5,1453.78,1490.09,1492.77,1447.49,24301634925,45.27999999999997
1467,2017-05-04,16308862.5,1490.72,1537.67,1608.91,1490.72,25080858487,118.19000000000005
1468,2017-05-05,16308862.5,1540.87,1555.45,1618.03,1530.31,25373374563,87.72000000000003
1469,2017-05-06,16314675.0,1556.81,1578.8,1578.8,1542.5,25757608890,36.299999999999955
1470,2017-05-07,16314675.0,1579.47,1596.71,1596.72,1559.76,26053077975,36.960000000000036
